en,ch
proportion,比重
Unfair,不平
outflow,流出
bona fide,善意
proficient,精通
Night Sky,夜空
giant,巨人
Low-key,低调
except,除外
balanced,均衡
break down,分解
education,教养
syllable,音节
unmarried,未婚
industry,业界
Peacock,孔雀
clerk,店员
palace,宫廷
drift,漂泊
magic,魔力
# 4000,# 4000
isolated,孤立
openly,公然
He Fang,何方
Trail,小道
Highlands,高地
city ​​gate,城门
allergy,过敏
Passing away,逝去
masterpiece,杰作
silver,银色
drifting,漂流
King of Heaven,天王
Style,风貌
form,结成
wave,波浪
fracture,骨折
maze,迷宫
Scenery,光景
Extreme,至极
serial,连环
Palace,殿堂
knowledge,见闻
volume,音量
trend,动向
specimen,标本
The Big Picture,大局
assault,暴行
advice,忠告
protein,蛋白
Garden,园地
end,末日
Flood,大水
Sturdy,坚固
reserved,矜持
slide,滑落
Character,品格
Flying Bird,飞鸟
Moderation,适度
rescue,救出
pocket knife,小刀
recall,追忆
Property,物件
Prevention,防备
Conception,构想
container,容器
cancel,中止
below zero,零下
New recruits,新兵
Handouts,讲义
Firepower,火力
Innocence,纯情
Essentials,要领
Grand Duke,大公
public funds,公费
advance,事前
Conservation,保全
Segmentation,细分
flesh and blood,骨肉
Wutong,梧桐
Extreme,极致
Dust,风尘
tone,调子
lower abdomen,小腹
Notice,告示
Anthology,选集
bud,萌芽
flaunt,标榜
good,上手
radical cure,根治
early month,上旬
Kyushu,九州
windmill,风车
merger,兼并
Jasmine,茉莉
Resignation,离职
Rest,休养
tone,音调
plaster,石膏
keynote,基调
Public Notice,公示
wallpaper,壁纸
gap,落差
precision,精密
Insight,悟性
great cause,大业
List,罗列
limbs,手足
Plastic surgery,整形
Compilation,编纂
Ruling,裁定
conditioning,调理
boy,童子
break,决裂
Color,花色
basin,盆地
crop,作物
Disrespect,不敬
early summer,初夏
monk,僧侣
ex-husband,前夫
military police,宪兵
Achievements,功绩
Early years,初年
tailwind,顺风
filial son,孝子
cloth bag,布袋
paranoia,偏执
conduct,品行
the next day,翌日
sect,教派
Separation of the Family,分家
Special Mission,特派
pathology,病理
convalescence,疗养
public office,公职
nourish,滋养
thing,东西
conduct,进行
at the same time,同时
Comment,评论
aspect,方面
Influence,影响
success,成功
material,资料
Feeling,心情
figure,人物
resource,资源
project,工程
degree,程度
transportation,交通
Phenomenon,现象
impression,印象
Smile,微笑
Profession,职业
admit,承认
convenient,方便
die,死亡
generally,通常
implement,执行
member,成员
rest assured,放心
renew,更新
major,重大
journal,日记
meaning,意味
Speech,讲话
chair,椅子
on the head,头上
composition,作文
finance,金融
successively,先后
Sing,唱歌
Various,多种
Essence,精华
fierce,激烈
Before and After,前后
on the contrary,相反
describe,形容
connect,连接
crisis,危机
middle aged,中年
power,动力
plant,植物
nature,性质
together,一同
on the other hand,一方
power,势力
pedestrian,行人
notes,笔记
flight,飞行
Respect,尊敬
Yangtze,长江
Achievement,达成
just,公正
ordinary,平凡
Creativity,创意
strengthen,强化
circulation,流通
pencil,铅笔
light rain,小雨
light,光线
maritime,海上
Fragile,脆弱
Confused,糊涂
Split,分裂
beauty,美容
style,作风
poverty,贫穷
singing,歌唱
clean,清洁
resistance,抵抗
constellation,星座
Complete Works,全集
Advent,降临
medium,中等
main force,主力
above,上方
March,三月
Yes or No,有无
Purple,紫色
adequate,充足
Authentic,正宗
bleed,流血
training,修养
mid-term,中期
Appearance,出场
Mountain climbing,登山
Ordinary,寻常
Afternoon,午后
establish,确立
Mid-Autumn Festival,中秋
Functions,职能
release,放出
compromise,妥协
similar,同类
pen name,笔名
palace,宫殿
Western,西洋
excellence,卓越
aggravated,加重
Good reviews,好评
tortuous,曲折
moderately prosperous,小康
this life,今生
Events,行事
elders,长老
strength,强度
weak,微弱
place,放置
grief,悲痛
unprecedented,空前
wheel,车轮
decline,下落
words and deeds,言行
tilt,倾斜
meteor,流星
March,行进
exuberant,旺盛
agile,敏捷
Duke,公爵
hostage,人质
Selected,选定
lucky,侥幸
reconnaissance,侦察
clear,明朗
pope,教皇
Doujin,同人
homosexual,同性
Older,年长
Facilitation,促成
Our Lady,圣母
sequence,序列
defamation,诽谤
yield,屈服
Improvements,改良
Admission,入场
financial resources,财力
Free of charge,无偿
grass,青草
Prince,亲王
dying,临终
judge,评判
blind,盲人
low,低落
Destruction,破灭
eldest son,长子
Opportunity,契机
Government Affairs,政务
Senior citizens,长者
Prime Minister,宰相
Global,全局
style,格调
bat,蝙蝠
glance,一瞥
atom,原子
panoramic,全景
cave,洞穴
Serious illness,重病
sexually transmitted diseases,性病
ZTE,中兴
secretion,分泌
heating,加热
Begonia,海棠
Supervision,监察
innovation,革新
fishing boat,渔船
small,微小
branch campus,分校
tune,曲调
resection,切除
West,以西
New home,新居
middle class,中流
Masturbation,自慰
vague,漠然
written,成文
situation,情势
Lieutenant,中尉
veto,否决
spasms,痉挛
Seasoning,调味
birds,鸟类
DC,直流
daytime,白日
freezing,冷冻
defensive,防卫
gun smoke,硝烟
Exemption,免除
Real name,本名
public,公立
Positive,阳性
end,末尾
politics,政界
flesh,血肉
Sections,小节
Bones,白骨
Mantra,真言
reveal,吐露
bathing area,浴场
sharp weapon,利器
suspected,疑似
Laughter,哄笑
expedition,远征
Very,非常
article,文章
direct,直接
Performance,表现
on the ground,地上
Large quantities,大量
Establishment,成立
Parents,家长
correct,正确
enthusiasm,热情
headmaster,校长
canteen,食堂
inevitable,必然
emperor,皇帝
Director,局长
usually,平常
liberation,解放
Always,一向
Belief,信仰
coach,教练
prevent,防止
Birth,诞生
journey,行程
vitality,活力
Agreement,约定
force,强迫
Cultivation,养成
skilled,熟练
type,种类
breast,乳房
policy,方针
feudal,封建
electricity,电力
curve,曲线
Team Leader,组长
Fat,脂肪
Orientation,指向
pioneer,先锋
Yearning,憧憬
violent,猛烈
Mood,心境
bridegroom,新郎
agreement,协定
Rectification,整顿
repercussions,反响
starry sky,星空
on-line,线上
Dharma,正法
alarm,警报
sexual intercourse,性交
Honesty,正直
liquid crystal,液晶
All day,终日
parallel,并列
Recognition,表彰
believe,信奉
Charge,充电
scenery,景物
come down,坠落
snails,蜗牛
years,年月
Farming,养殖
tailor,裁缝
Front,前列
Founder,方正
neutral,中性
middle finger,中指
delicate,精巧
chest,胸中
The day before,前日
dumping,倾倒
freeze,冻结
output,出力
Condensation,凝结
disease,病症
Intention,志向
Chief,酋长
Azure Dragon,青龙
Culture and Education,文教
race,人种
Target,标的
sister-in-law,小姑
mooring,停泊
Determination,测定
upright,直立
Upper limit,上限
Loneliness,寂寥
Hero,豪杰
Medium,中型
setting sun,斜阳
past,过去
everything,一切
how,如何
police,警察
wife,妻子
period,时期
memory,记忆
enjoy,享受
public,公共
Benefit,利益
status,地位
deliberately,故意
maintain,维持
base,基地
Proportion,比例
enter,输入
common people,百姓
Miracle,奇迹
geography,地理
mechanical,机械
taste,滋味
create,创建
announcement,公告
conscience,良心
innocent,无辜
Full Strength,全力
reveal,流露
all walks of life,各界
Demonstrations,示威
Self-service,自助
Encourage,鼓舞
mercy,慈悲
straight line,直线
At your own expense,自费
Founding,创立
chrysanthemum,菊花
Subsidy,补助
End,终结
Statement,语句
borrow,借用
self made,自制
Your Mightiness,阁下
Previous year,前年
director,理事
Destruction,灭亡
remains,遗迹
issue,议题
Cross,十字
respite,喘息
Honey,蜂蜜
Who,何人
hostility,敌意
neutral,中立
penalty,刑罚
benefactor,恩人
Detailed explanation,详解
whistle,汽笛
quality,质量
matrix,行列
bee,蜜蜂
completion,落成
must,一定
woman,女人
Unable,无法
fundamental,根本
understand,理解
Report,报告
rest,休息
Women,女子
self,自我
I,本人
style,风格
Everyone,各位
similar,类似
insufficient,不足
Glass,玻璃
grammar,语法
grasp,把握
breathe,呼吸
legitimate,合法
Passed,合格
letter,字母
speech,言语
license,许可
review,回顾
class,阶级
universal,普及
instinct,本能
heavy rain,大雨
Large,大幅
insult,侮辱
comedy,喜剧
gossip,八卦
Foam,泡沫
opposite sex,异性
transition,过渡
soil,泥土
One,一味
children,子弟
Queen,女王
region,地域
not at all,全然
One or Two,一二
Self-study,自习
medium,媒介
song and dance,歌舞
spider,蜘蛛
Trajectory,轨迹
Taiga,大河
endlessly,不休
respect,敬意
Ancient and Modern,古今
shrine,神社
Timely,适时
Case studies,事例
reconciliation,和解
urge,督促
Tutoring,补习
Shooter,射手
dance music,舞曲
Problem Solving,解题
immortal,不朽
chaos,混沌
Along the route,沿线
suspense,悬念
succeed,得手
immediately,即刻
deficit,赤字
franchise,特许
colloquialisms,俗语
Swallow,咽下
subordinates,下级
Daily life,起居
draft,草稿
handwriting,笔迹
gratitude,谢意
landmines,地雷
syntax,句法
unyielding,不屈
maid,侍女
dismount,下马
Civil Engineering,土木
Inhalation,吸入
personal,个人
result,结果
story,故事
Hongkong,香港
forever,永远
Regulation,规定
information,消息
character,文字
Base,基础
common,共同
Beauty,美女
distance,距离
All the way,一路
writer,作家
most,最多
advanced,高级
criticize,批评
husband,老公
Reasonable,合理
respective,各自
song,歌曲
blue,蓝色
Stimulate,刺激
accident,事故
good at,得意
child,子女
combination,组合
reason,理性
Humanities,人文
occasion,场合
typical,地道
deny,否认
lyrics,歌词
Illegal,违法
consultant,顾问
fall,落下
square meters,平米
wandering,流浪
Regular,定期
Generous,大方
Light,光芒
Girl,女郎
legislation,立法
gather,集合
literati,文人
Experience,心得
front,前线
isolation,隔离
gesture,手势
local,本土
declaration,宣言
detention,拘留
Interest,利息
Great Fire,大火
suitable,适宜
truck,货车
mother and child,母子
supply,供给
cemetery,墓地
bias,偏见
fine,精细
Can,可否
weak,薄弱
in previous years,往年
cavalry,骑兵
humiliation,屈辱
glyphs,字形
ladder,梯子
weapons,兵器
Independence,自立
roar,咆哮
Low-level,低级
chew,咀嚼
flat land,平地
bribe,贿赂
Japanese style,和风
North,以北
source,源泉
Preface,前言
fruit trees,果树
Qualitative,定性
sperm,精子
deep mountains,深山
Royal Palace,王宫
wildflowers,野花
Residence,居留
particle,粒子
Left,左派
particles,颗粒
stand up,起立
Special,特级
established,既定
Comfort,心地
leather,皮革
theorem,定理
Jurisprudence,法理
Recruitment,募集
difference,差额
Assembly,集结
Stand tall,屹立
Habits,习性
magnetic,磁性
supply,补给
abjection,落魄
error,误差
Ascend to the throne,即位
Communiqué,公报
throne,王位
Technique,技法
First Aid,救护
star anise,八角
matter,事情
personnel,人员
very,十分
This year,今年
effort,努力
Behavior,行为
cooperate,合作
last year,去年
Get,取得
woman,女性
East,东方
various places,各地
star,明星
fixed,固定
Unlucky,不幸
Formulate,制定
decline,下降
disease,疾病
pity,同情
Strategy,策略
prince,王子
Toy,玩具
Speech,言论
compatriots,同胞
weakness,无力
miss,想念
personality,人格
senior management,高层
ruthless,无情
peak,高峰
assistance,援助
the ancients,古人
indefinite,不定
May,五月
Past,昔日
misunderstanding,误解
soft,柔和
tomorrow,明日
therapy,疗法
ancestor,祖先
criminal,刑事
sound,健全
goddess,女神
higher,高等
Sublime,崇高
trance,恍惚
Everyone,各人
power,威力
Collected Works,文集
logistics,物流
French,法文
First class,一等
Fun,情趣
little girl,小女
now,现今
Walker,行者
count,伯爵
force,武力
terrain,地形
tough,强硬
exercise,演习
tolerate,包容
Footprints,足迹
lattice,格子
flow,流量
Audio and Video,音像
appearance,容貌
Unity,合一
juice,果汁
rural,田园
intention,意向
accumulation,堆积
fart,放屁
raging fire,烈火
timing,定时
mortal,凡人
harmony,和睦
rage,激怒
Full range,全线
public,公家
thorns,荆棘
sowing,播种
deceased,故人
blue,青色
grammar,文法
Overweight,过重
North side,北侧
Passionate,激昂
mosquito net,蚊帐
permanent residence,常住
autumn rain,秋雨
Abbot,方丈
Five Colors,五色
self-sufficiency,自得
airstrike,空袭
adversity,逆境
Old man,老翁
beat,拍子
hope,希望
Various,各种
clear,清楚
End,以上
think,想到
immediately,马上
think,想起
Establish,建立
On the road,路上
strength,力量
after all,毕竟
give up,放弃
ideal,理想
mood,情绪
concentrated,集中
Combine,结合
access,访问
Popularity,流行
practise,练习
dream,梦想
composition,组成
trip,旅行
route,路线
abnormal,异常
Registration,登记
Surprised,吃惊
equality,平等
Tokyo,东京
line,线路
intelligence,情报
classical,古典
constitution,宪法
tendency,倾向
denial,否定
ahead,前方
Performed,上演
confused,茫然
mountain road,山路
image,影像
Dongfeng,东风
endless,无穷
nature,本性
territory,领土
Broadcast,放映
Same as above,同上
negative,消极
Uterus,子宫
Financing,融资
February,二月
emperor,帝王
Leading,先行
below,下方
upper layer,上层
Corporation,法人
General Manager,常务
position,方位
Kyoto,京都
Split,分割
Speech,讲演
Multiple,多重
Existing,现存
parallel,平行
West side,西侧
Impermanence,无常
square,平方
arable land,耕地
Republic,共和
consternation,惊愕
crystallization,结晶
acute,急性
prosperous,兴隆
crew,船员
correct,更正
Before marriage,婚前
portrait,肖像
cricket,蟋蟀
unrestrained,奔放
Health Preservation,养生
rib cage,肋骨
ivory,象牙
pursue,奉行
princess,王妃
sentiment,情操
parallel,并行
bronze statue,铜像
capital,都城
hills,丘陵
tomb,陵墓
this morning,今朝
bulge,隆起
Supreme,无上
Indulge,放任
peers,同级
humble,谦逊
Thoracic cavity,胸腔
process,过程
policy,政策
interest,兴趣
Image,形象
The west,西方
expression,表情
good,良好
northeast,东北
waste,浪费
Results,成果
coordination,协调
left hand,左手
bad,不良
Come forward,上前
pale,苍白
superior,上级
Definitely,必定
weekdays,平日
fragrance,香味
class,阶层
Ordinary people,常人
fly,飞翔
Fire Fighting,消防
ability,本领
matter,事项
legal,法定
Top,顶上
limit,极限
Mars,火星
intermediate,中级
Mood,情调
bridge,桥梁
auspicious,吉祥
Release,上映
situation,境地
desolate,荒凉
overlooking,眺望
Superstar,巨星
rupture,破裂
Outlook,展望
pasture,牧场
assessment,评定
East side,东侧
respect,崇敬
Lower level,下层
Bias,偏向
territory,领地
decree,法令
Consul,领事
spices,香料
Infinite,无量
Representation,表象
karate,空手
Square,方形
Dapeng,大鹏
normal,正常
emphasize,强调
religion,宗教
energy,精力
reluctantly,勉强
weight,重量
court,球场
journey,旅程
cool,清凉
Quantity,分量
troops,兵力
Palm,手心
Go north,北上
Upstream,上流
benign,良性
Quantitative,定量
capacity for liquor,酒量
Measurement,计量
Great Powers,列强
Kind,善良
mandatory,强制
tension,张力
strong,强烈
appropriate amount,适量
method,方法
positive,积极
each,各个
today,今日
north,北方
grade,等级
right hand,右手
excessive,过多
imagine,想像
up,向上
force,强行
sincere,真心
Try your best,极力
Wang Family,王家
Thank you,多谢
Measurement,测量
grandmother,祖母
Newbie,新手
Left side,左侧
right side,右侧
native language,母语
Debut,登场
Play,上场
Removal,除去
law,法则
Oji,大路
superior,上等
Sailing,航行
eggplant,茄子
Strong,强力
Delusion,妄想
aromatic,芳香
impromptu,即兴
Parent-child,亲子
Mutual Aid,互助
pawpaw,木瓜
Arctic,北极
screen,屏风
orange color,橙色
Program,纲领
Combined Force,合力
spread,波及
debauchery,放荡
uncle,叔父
Generally speaking,大凡
part,一部分
electromagnetic,电磁
blood sugar,血糖
ginkgo,银杏
Intensification,激化
Surface,地表
blister,水泡
almond,杏仁
Job openings,求人
ferry,渡船
Optional,自选
tributary,支流
stick,棍棒
lengthy,冗长
Courtship,求爱
# 5000,# 5000
spiral,螺旋
epidemic prevention,防疫
forging,锻造
Interview,取材
venomous snake,毒蛇
inflammation,炎症
Asahi,朝日
paper bag,纸袋
South End,南端
private,私有
Arts and Sciences,文理
Genuine Leather,真皮
semen,精液
farming,耕作
The Golden Mean,中庸
Prajna,般若
fertilizer,肥料
God,神明
nebula,星云
Store Manager,店长
Self-interest,私利
Left Bank,左岸
Grounding,接地
jade,玉石
Fertilization,施肥
French,法式
constipate,便秘
Zhongtian,中天
Arrangement,编曲
valve,阀
rapids,激流
Prelude,前奏
statues,神像
Ambitious,有志
camellia,椿
right way,正道
Seri,芹
gut,腑
alienation,异化
grand occasion,盛况
colored,有色
prisoner,囚徒
Aya,绫
remove,扫除
In recent days,连日
metallurgy,冶金
bait,饵
weak,衰弱
mercury,水银
vaccination,接种
Atonement,赎罪
ears and eyes,耳目
Encourage,助长
monasticism,修道
Crusade,讨伐
Charter,宪章
Benchmark,基准
power ups,通电
Shepherding,牧羊
Heavenly Man,天人
grave,墓穴
fertile,肥沃
adjutant,副官
military adviser,军师
Commander-in-Chief,统帅
spicy,辛辣
pregnancy,妊娠
feast,筵
nominal,名目
destiny,天命
recall,罢免
Poverty,清贫
Allure,倾城
flaw,瑕疵
Yin,胤
Forming,成形
Gold and Jade,金玉
bark,树皮
toilet paper,手纸
put out,扑灭
Prototype,原形
Dantian,丹田
Good ideas,高见
Masking,遮蔽
rough,粗野
Songjiang,松江
fellow,同道
Signature,落款
Chamber of Secrets,密室
appoint,委任
contain,牵制
altar,祭坛
Danqing,丹青
young girl,幼女
Disposal,始末
Lift,升降
ingot,锭
cast aside,唾弃
chastity,贞操
Motivation,意欲
Aquatic,水生
Spring,春色
backward,后进
Insights,洞察
Dissolve,溶解
Minister,公使
Half Life,半生
politics and religion,政教
Gradual,渐进
financial resources,财源
breast milk,母乳
to be decided,未定
important town,重镇
hibernation,冬眠
Postscript,跋
water droplets,水滴
send,送信
fly,蝇
Merlin,梅林
grazing,放牧
Top,上部
treasure,珍重
Holdings,保有
exile,放逐
Most,大部
Eight directions,八方
fabrication,捏造
equatorial,赤道
branch line,支线
whale,鲸
geothermal,地热
Flag,幡
Vision,远景
Heroes,群雄
meat slices,肉片
fabrication,杜撰
righteousness,大义
quarrel,口角
gout,痛风
Fisherman,渔夫
dead body,死尸
Far View,远望
Alas,呜呼
despicable,卑劣
axiom,公理
puppet,傀儡
gravitational,引力
flagship,旗舰
Solo Exhibition,个展
stubborn,执拗
Pottery,陶器
Night train,夜行
buffalo,水牛
time limit,时限
Performance,公演
Mochizuki,望月
colorless,无色
Title,题名
Compulsory,必修
Changing clothes,更衣
Request,恳请
early spring,早春
Cultivation,涵养
Unsuccessful,落选
stone statue,石像
eaves,庇
foot of the mountain,麓
Swire,太古
ophthalmology,眼科
dereliction of duty,失职
Determination,决意
Dosage,用量
naked eye,肉眼
handsome,俊秀
Land,地头
meaning,含意
code,法典
In-car,车载
ditty,小曲
reprint,再版
inscription,碑文
lighting,采光
Business owners,业者
out of fashion,不兴
magpie,鹊
Replacement,置换
wounded,负伤
philosopher,哲人
Client,施主
middle section,中段
High Profile,高调
Moonlit Night,月夜
Famous Quotes,名句
quota,定额
Sheng,笙
Standard,王道
scenery,风物
Eastern Expedition,东征
magnetic field,磁场
discerning eye,慧眼
thick fog,浓雾
Homophone,同音
residence,居所
Ancestor,始祖
trauma,外伤
Owl,枭
baron,男爵
Hold on,固守
sulfuric acid,硫酸
Prime Minister's Office,官邸
thistle,蓟
Sorrow,悲怆
family business,家业
Decline,减退
Hostility,敌视
comet,彗星
activity,活性
Acquisition,习得
Summer vacation,避暑
Opening a mountain,开山
laity,俗人
dark and quiet,杳
Accessibility,通达
moth,蛾
buffer,缓冲
Famous Songs,名曲
muddy water,泥水
trimming,修整
Walking,行路
Maintenance,养护
Elegance,风雅
slice,切片
Academic Affairs,教务
Current situation,时局
capture,捕获
bottom of the pot,锅底
pigment,色素
Shoot,射杀
aisle,通路
mature,老成
turbid,混浊
Swamp,沼
speaker,议长
Housekeeping,家政
sewing,缝制
Training,调教
melancholy,哀愁
Rise up,奋起
Present world,现世
Face reading,面相
hairpin,簪
Long-term,长足
Throw,投掷
steel plate,钢板
Sky,苍穹
motto,箴言
Taibai,太白
Last words,遗言
technician,技师
mating,交配
Negative,阴性
Lament,慨叹
wasteland,荒地
excretion,排泄
elevated,高架
reduce,缩减
trunk,主干
Strength,强弱
backbone,中坚
harmless,无害
overture,序曲
north latitude,北纬
crossbow,弩
Whisper,私语
Fortitude,刚毅
Detoxification,解毒
Trunk Line,干线
Suture,缝合
Quest,探求
fence,篱
wind power,风力
Argument,论调
Morning and evening,朝夕
Brushwork,笔法
wind direction,风向
pillars,栋梁
Incorporation,编入
Whiteheads,白头
embryo,胚
usually,平素
protrusion,突起
Deadweight,自重
Overall,全貌
Flowers and Birds,花鸟
Hunger,空腹
Residence,邸
Main family,本家
White Tiger,白虎
light source,光源
Payment,给付
depend on,次第
potato,芋
Derivation,派生
radio waves,电波
Utilization,活用
natural disasters,天灾
saliva,唾液
Scarlet,绯
political situation,政局
New Testament,新约
Electric Light,电光
exquisite,精妙
official position,官职
fantasy,空想
Public and Private,公私
throne,王座
Idle,闲散
Cashier,出纳
Flow,奔流
masterpiece,力作
outside,外侧
surface layer,表层
rigidity,拘泥
throat,喉头
disaster,灾祸
fine,细密
original meaning,本义
copper plate,铜板
currency,通货
testis,睾丸
execution ground,刑场
Ocean,远洋
Ink Painting,水墨
oilfield,油田
anchor,锚
Insight,见地
Pictographic,象形
Deputy Minister,次长
affirmative,正方
Tanabata,七夕
This question,本题
agate,玛瑙
early autumn,初秋
artifacts,器物
farming,农耕
Old father,老父
Standby,待机
Grapefruit,柚子
Rice paddy,水田
Governance,施政
Wording,文言
ragged,褴褛
Sea Freight,海运
profit and loss,损益
captain,机长
Sheung Shui,上水
Kitayama,北山
dustpan,箕
rationing,配给
Unification,一统
Obliterate,抹杀
halberd,戟
blue veins,青筋
public prosecution,公诉
My father,家父
foot,足下
Stop bleeding,止血
Dove,鸠
breast,乳腺
cereals,谷物
subjects,臣民
Death,享年
apostle,使徒
Celebrities,名士
Angry,愤然
Probation,感化
heron,鹭
raccoon dog,狸
engagement,婚约
Garden Tour,游园
blind spots,死角
Second Lieutenant,少尉
famous family,名门
Aliases,别名
smooth,平滑
fabric,织物
repaying a favor,报恩
mushrooms,茸
black pepper,胡椒
Reduction of sentence,减刑
heresy,异端
Range,射程
Mana,法力
disillusionment,幻灭
Pure White,纯白
coriander,香菜
My generation,我辈
rain and dew,雨露
Lost the case,败诉
Details,明细
plot,暗算
thaw,解冻
remarriage,再婚
Growth rings,年轮
Olympic flame,圣火
straw sandals,草鞋
priest,祭司
torture,拷问
Seal,玺
inertia,惰性
bulk,大宗
gravity,重力
Self-love,自爱
Water volume,水量
Accuracy,精度
syncope,失神
Contamination,混入
coercion,胁迫
Complete victory,全胜
soften,软化
predecessors,先辈
boudoir,闺
mockery,揶揄
sailor,水兵
saber,军刀
weir,堰
Willful,恣意
shipbuilding,造船
Autumn Colors,秋色
Alarm bell,警钟
Childhood,幼时
trade,通商
younger generation,后辈
vulgar,低俗
warm current,暖流
Difficulty,难易
Good luck,大吉
Clothing,衣冠
almost,殆
Wizards,奇才
alloy,合金
Save effort,省力
python,蟒
broadcast,放送
rainfall,降雨
nutrient,养分
Beiyang,北洋
urgent,急迫
lofty,高远
second hand,中古
Differences and similarities,异同
dyeing,染色
salivate,垂涎
radical,部首
A crushing defeat,大败
intuition,勘
As mentioned above,前述
Third-rate,三流
Teachings,开示
Survival,活路
Short life,短命
noble,高洁
burst,爆裂
food,食粮
perpetrator,加害
congestion,充血
photocopy,影印
crown,王冠
Alert,机敏
Beidou,北斗
monks,修士
Jiazi,甲子
Xuanwu,玄武
Royal,御用
exceptional price,破格
good reputation,美名
technician,技工
soldier,兵士
Specific,特异
surfacing,浮上
labor pains,阵痛
germs,病菌
Break,破门
Correction,校正
front wheel,前轮
resin,树脂
white flag,白旗
grace,恩典
Paper,纸质
barrel,樽
pardon,赦免
weathering,风化
Kindness,仁爱
cave,洞窟
loyal minister,忠臣
pheasant,雉
Marquis,侯爵
Leaving early,早退
Historian,史家
Second-rate,二流
Blatant,露骨
hide,匿
removal,除名
Great Achievements,伟业
Burnout,倦怠
lower limbs,下肢
durable,耐用
Opening,开局
ancestor,先祖
literary giant,文豪
palmistry,手相
construction,工事
Tsukuda,佃
inscription,题字
Colorful,多彩
estuary,河口
oxen and horses,牛马
Good person,善人
treasury,金库
toxicity,毒性
Discrete,离散
pollen,花粉
Important,要冲
Five tastes,五味
Old woman,姥
mist,霭
diagnosis and treatment,诊疗
news,音信
Water-based,水性
wiring,接线
Winning the case,胜诉
Slightly,小幅
Pronunciation,字音
pension,年金
White powder,白粉
charcoal,木炭
Unprepared,不备
simple,简略
quantum,量子
shortwave,短波
Repeat offense,再犯
hereditary,世袭
Ginza,银座
art of war,兵法
Ships,舰艇
latitude,纬度
Tranquility,恬淡
bladder,膀胱
poor,贫民
cunning,狡
torch,炬
Fire,火种
measure,度量
raft,筏
Hue,色相
Loyalty,忠义
reclamation,开垦
Meeting,议事
fur,毛皮
Clam,蛤
shovel,锹
yam,山芋
hammer,槌
envoy,使节
religious,信教
fine,罚金
Inorganic,无机
Public,公有
Distribution,分派
Planting trees,植树
urea,尿素
misinterpretation,曲解
Purgatory,炼狱
marry,成婚
Vulture,鹫
narrow,仄
foreskin,包皮
Fresh air,新风
lubricating,润滑
End,末端
why,何故
Massacre,虐杀
bleach,漂白
Zongzi,粽
Major offense,大过
Monthly Report,月报
Valley,谷地
Polar Regions,极地
Construction,造作
Apology,谢罪
eddy,涡
Volume,容积
Municipal,市立
Strong Hit,强打
Phonology,音韵
Now,现下
Important matters,要事
logistics,兵站
serf,农奴
loving mother,慈母
Admiral,提督
egg,卵子
mysterious,玄妙
Eyes Opening,开眼
spine,脊椎
Symbiosis,共生
First Night,初夜
impatience,性急
stomach ache,腹痛
fool the people,愚民
plot,畦
Appointment,起用
elegant,上品
Introspection,自省
Descent,降下
close relatives,近亲
supine position,仰卧
Auspicious day,吉日
Handstand,倒立
dismissal,免职
Another World,隔世
incubation,孵化
log,原木
dependence,依存
maggot,蛆
eyelids,眼睑
Self-recommendation,自荐
Avatar,分身
Tea room,茶房
little finger,小指
sideline,副业
ankle,踝
following year,翌年
satin,缎子
Carrying,搭载
guard,警备
Sentence,刑期
type,活字
hypocritical,伪善
walnut,胡桃
Umbilical cord,脐
Send troops,派兵
beheading,斩首
School Motto,校训
Lecture Hall,讲堂
Straight,顺子
the large intestine,大肠
livestock,家畜
Accommodation,投宿
precipitate,淀
Red Sea,红海
discharge,放电
written,笔头
Denotation,表意
Well-seasoned,烂熟
Association,结社
refined,精制
corolla,花冠
edict,诏书
adultery,奸淫
summary,纪要
training,研修
justification,名分
lifeline,命脉
Horse head,马头
common,共通
Fall from power,落马
Rising Sun,旭日
Suzaku,朱雀
saliva,唾
Attend,列席
plasma,血浆
conclude,缔结
seafarers,海员
Meat quality,肉质
Karma,果报
right angle,直角
Strategy,谋略
Running Script,行书
Special exception,特例
coincide,重合
Export,导出
moisture-proof,防潮
storm,暴风
English name,英名
Alternate,候补
school spirit,校风
Grace,风姿
scattered,零落
Direct,直行
defend to the death,死守
xenophobic,排外
carnivorous,食肉
Character,品性
Clothing,衣料
suspension bridge,吊桥
Winner,胜者
light years,光年
preface,自序
main culprit,主犯
start,起动
abdominal cavity,腹腔
Gen,艮
interest,兴味
lizard,蜥蜴
in vain,徒然
thin film,薄膜
forever,永世
gland,腺
honest,清廉
young children,幼童
Buried,葬送
Supplement,补足
Source,源流
vocabulary,语汇
infiltration,浸润
On land,陆上
Whitewash,粉饰
Elegy,悲歌
All staff,全员
Beginning and End,首尾
hardness,硬度
handle,手柄
voiceless,清音
Overturn the verdict,翻案
rainy season,梅雨
snare,网罗
Prince,皇子
farm tools,农具
foundation,础
height,身长
Bai Wen,白文
judo,柔道
Judge,判官
fictional,架空
sumo wrestlers,力士
Master,巨匠
True intention,真意
torture,受刑
people of the same taste,同好
syphilis,梅毒
below the knee,膝下
Killing,杀伤
Construction period,工期
epitaxy,外延
Natives,土人
banned books,禁书
Coach,教头
brilliant,烂漫
Lord,领主
Water supply,给水
peers,同业
Important positions,要职
Suspension,停职
Last Generation,末代
Garden,庭园
Marriage registration,入籍
Move the capital,迁都
Linhai,临海
cable,缆
His Holiness,法王
key personnel,要员
military attache,武官
Tea bowl,茶碗
power,幂
